Name;Author;GITHUB Link;MEGA Link;Publication Year;SYNC Link;Topics;Type;cover page
The Prolongation of Life;A. A. Bogomolets;https://raw.githubusercontent.com/peatysharing/bibliography/main/Aleksandr%20Bogomolets/1946%20-%20A.%20A.%20Bogomolets%20-%20The%20Prolongation%20of%20Life.pdf;https://mega.nz/file/h1xCFA5Y#NVcTrKQfjVEZE9PtA_kBOV7hb6Dd63rMEbl6etx0Hlg;1946;;;;img/cover page/Aleksandr Bogomolets/1946 - The Prolongation of Life.webp
The Growth Process In Animals;A. E. Needham;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.%20E.%20Needham/1964%20-%20A.%20E.%20Needham%20-%20The%20Growth%20Process%20In%20Animals.pdf;https://mega.nz/file/NhBRVRgZ#yqfAZaDoqodBVpqUIO_m2MPGapsFS4hMPcDS9T3RmFU;1964;;;Book;img/cover page/A. E. Needham/1964 - The Growth Process In Animals.webp
Influence Of The Blood Serum Of Schizophrenics On Carbohydrate Exchange In The Eythyrocytes Of Chickens;A. I. Krasnova;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.%20I.%20Krasnova/1965%20-%20A.%20I.%20Krasnova%20-%20Influence%20Of%20The%20Blood%20Serum%20Of%20Schizophrenics%20On%20Carbohydrate%20Exchange%20In%20The%20Eythyrocytes%20Of%20Chickens.pdf;https://mega.nz/file/4tpG0CoC#xXAeZobzQ8pXnMrcl1jxvuBDCCVlkKeLRocKEQd5MFQ;1965;;;Article;img/cover page/A. I. Krasnova/1965 - Influence Of The Blood Serum Of Schizophrenics On Carbohydrate Exchange In The Eythyrocytes Of Chickens.webp
Kinetics Of Deterioration Of Pineapple Concentrate;A. J. Fontana, L. Howard, R. S. Criddle, L. D. Hansen, E. Wilhelmsen;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.%20J.%20Fontana/1993%20-%20A.%20J.%20Fontana%3B%20L.%20Howard%3B%20R.%20S.%20Criddle%3B%20L.%20D.%20Hansen%3B%20E.%20Wilhelmsen%20-%20Kinetics%20Of%20Deterioration%20Of%20Pineapple%20Concentrate.pdf;https://mega.nz/file/QhpQwQQD#kEr--qxhefZi29W2aPV8ZYahefc_ExcaD7v125rwIPk;1993;;;Article;img/cover page/A. J. Fontana/1993 - Kinetics Of Deterioration Of Pineapple Concentrate.webp
Induction Of Free radicals In Seeds By High Intensive Flashes And The Relevant Phosphorus Metablism In The Seeding;A. K. Srivastava, A. G. Chetverikov, S. A. Stanko, G. V. Novikova;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.%20K.%20Srivastava/1984%20-%20A.%20K.%20Srivastava%3B%20A.%20G.%20Chetverikov%3B%20S.%20A.%20Stanko%3B%20G.%20V.%20Novikova%20-%20Induction%20Of%20Free%20radicals%20In%20Seeds%20By%20High%20Intensive%20Flashes%20And%20The%20Relevant%20Phosphorus%20Metablism%20In%20The%20Seeding.pdf;https://mega.nz/file/hgJ1GDKB#EKCNT5pq7pE1E6wazGpzH35ttLZSZEH0H_H6k3RSPks;1984;;;Article;img/cover page/A. K. Srivastava/1984 - Induction Of Free radicals In Seeds By High Intensive Flashes And The Relevant Phosphorus Metablism In The Seeding.webp
Sounds And Signs;A. Kondratov;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.%20Kondratov/1969%20-%20A.%20Kondratov%20-%20Sounds%20And%20Signs.pdf;https://mega.nz/file/104EkA5D#4F5D0opC_Qc3ni9KtKFuws8KfhrFbXm3ZMyFCUbUadY;1969;;;Book;img/cover page/A. Kondratov/1969 - Sounds And Signs.webp
Spectroscopy with Tunable Lasers in the Visible Region;A. L. Schawlow;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.%20L.%20Schawlow/1973%20-%20A.%20L.%20Schawlow%20-%20Spectroscopy%20with%20Tunable%20Lasers%20in%20the%20Visible%20Region.pdf;https://mega.nz/file/N4ADiSgA#RfymiuqbXuBn1-js1jsaml44R62qto-FOVYDnoBAKBY;1973;;;;img/cover page/A. L. Schawlow/1973 - Spectroscopy with Tunable Lasers in the Visible Region.webp
Freudianism, Microsiocology, And Existentialism;A. M. Khaletskii;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.%20M.%20Khaletskii/1965%20-%20A.%20M.%20Khaletskii%20-%20Freudianism%2C%20Microsiocology%2C%20And%20Existentialism.pdf;https://mega.nz/file/d8ZhHS7I#TcJi2rVFRb0HSZF4cOVWXV7jkIl4kvQwrRQ9jDlGMEo;1965;;;Article;img/cover page/A. M. Khaletskii/1965 - Freudianism, Microsiocology, And Existentialism.webp
The Cell And Environmental Temperature. Proceedings Of The International Symposium On Cytoecology;A. S. Troshin;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.S.%20Troshin/1967%20-%20A.%20S.%20Troshin%20-%20The%20Cell%20And%20Environmental%20Temperature.%20Proceedings%20Of%20The%20International%20Symposium%20On%20Cytoecology.pdf;https://mega.nz/file/wkxTnSbQ#UNtPU-Y8QsYpaKaejrwRRUmiPwzf7hd38S10gWv2LtQ;1967;;;Book;img/cover page/A. S. Troshin/1967 - The Cell And Environmental Temperature. Proceedings Of The International Symposium On Cytoecology.webp
Problems Of Cell Permeability;A. S. Troshin, P. Alexander And Z. M. Bacq;https://raw.githubusercontent.com/peatysharing/bibliography/main/A.S.%20Troshin/1966%20-%20A.s.%20Troshin%2C%20P.%20Alexander%20And%20Z.%20M.%20Bacq%20-%20Problems%20Of%20Cell%20Permeability.pdf;https://mega.nz/file/JtZlXDSZ#iFfnVkPw_EiiI9XZqMYQUJIhirOFmhSyLDynjoevWB4;1966;https://ln5.sync.com/dl/0d0e325b0/3krzw5cw-kqbb6ev4-vm7ja9pr-xai2za3a;Biology;Book;img/cover page/A. S. Troshin/1966 - Problems Of Cell Permeability.webp
